set_name,source,tier,category_primary,category,method,fgsea_eligible,gsva_eligible,size_mouse,size_human,n_unmapped_to_human,n_unmapped_from_human,description,notes
MITOCARTA_ALL,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,All,gsva,FALSE,TRUE,1140,1083,58,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | All | gsva,Full MitoCarta3.0 inventory (Sheet 2): 1140 = 1037 pathway-annotated + 103 unassigned
MITOCARTA_NUCLEAR_ENCODED,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,Nuclear_encoded,gsva,FALSE,TRUE,1127,1070,58,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | Nuclear_encoded | gsva,Full inventory (Sheet 2) minus 13 mt-* genes
MITOCARTA_MTDNA_ENCODED,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,mtDNA_encoded,gsva,FALSE,TRUE,13,13,0,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | mtDNA_encoded | gsva,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_UNASSIGNED,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,Unassigned,both,TRUE,TRUE,103,93,10,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | Unassigned | both,Inventory genes with MitoPathways == 0 (no pathway); absent from Sheet 4
MITOCARTA_OXPHOS,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,OXPHOS_nu,both,TRUE,TRUE,155,137,20,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | OXPHOS_nu | both,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_OXPHOS_NU,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,OXPHOS_nu,both,TRUE,TRUE,155,137,20,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | OXPHOS_nu | both,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_OXPHOS_MT,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,OXPHOS_mt,gsva,FALSE,TRUE,13,13,0,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | OXPHOS_mt | gsva,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_APOPTOSIS_PRO,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,curated,MitoCarta,Apoptosis_PRO|Apoptosis,both,TRUE,TRUE,25,23,2,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | Apoptosis_PRO|Apoptosis | both,Inlined gene list from 08_mitoPPS_analysis.R lines 285-295
MITOCARTA_APOPTOSIS_ANTI,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,curated,MitoCarta,Apoptosis_ANTI|Apoptosis,gsva,FALSE,TRUE,9,8,1,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | Apoptosis_ANTI|Apoptosis | gsva,Inlined gene list from 08_mitoPPS_analysis.R lines 285-295
MITOCARTA_ABC_TRANSPORTERS,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,MitoCarta pathway,gsva,FALSE,TRUE,8,8,0,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | MitoCarta pathway | gsva,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_AMINO_ACID_METABOLISM,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,primary,MitoCarta,MitoCarta pathway,both,TRUE,TRUE,90,90,1,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | MitoCarta pathway | both,Built from Sheet 4 with mt-* genes removed (legacy convention)
MITOCARTA_APOPTOSIS,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R,curated,MitoCarta,MitoCarta pathway,both,TRUE,TRUE,34,31,3,NA,MitoCarta3.0 (Sheet 4) + legacy convention from 08_mitoPPS_analysis.R | MitoCarta pathway | both,Inlined gene list from 08_mitoPPS_analysis.R lines 285-295
